"","ResponseId","Open_1","Open_2","Open_3","Condition","p_ability","p_entity","p_pity","p_self_worth","p_grades","p_social","l_effort","l_strategy","l_help","l_mastery","l_interest","l_failure_good","o_ask_child","sum_performance","sum_learning"
"15",15,"How do you feel the test went? That must feel tough to have studied hard and gotten a lower score. Hmm, what can we do to help you do better next time? Maybe we can spend some time going through the work that you did and try to figure out how to improve for next time.","I would feel empathy for my child if they worked hard, but I would feel hopeful to teach them to work through the challenge.","I would feel a little bad for my kid experiencing disappointment, but also a little glad because I know they need to learn to deal with it.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",16,"I would say son, life is all about learning, and you never stop learning. And sometimes when we learn something and we are confident that we know it but sometimes just because you know something that something can prove to be wrong  just as well as right. So don't worry even the greatest smartest people on earth get things wrong but they learn from it, so accept your not right learn from it and move on.","I would feel bad for the little guy, but I would do my best  to help him learn and move on","I would feel that my child has learned a valuable experience from the situation. And I would be certain that he knew I was proud of him.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",17,"I would ask my child if they felt they truly did their best.  I would ask how the test itself was presented as far as the presentation of the questions such as the type or format.  I would consider any outside influences in the classroom or other environmental factors.  Then I would consider the actual subject material and their understanding of it.","I would think there was a problem in the situation or the understanding of the material.","I would be concerned about what the problem was.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",18,"I would tell my child that it’s ok, that we now know we need to study a little bit better. ","I would think that it was good for them to experience that scenario so they won’t be over confident next time. ","I would feel confident because it’s just a math test, it’s not the worst thing to fail. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",19,"I would ask what happened. I would ask about homework and study habits. I would tell her its okay but we should be more prepared next time. ","I would be a little shocked, surprised, worried, and help her. ","Concerned for her schooling and her dedication and how she could improve","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",20,"I know you always study hard and you always get great grades so this is a one time thing. Talk to your teacher tomorrow and find out what happened.","I would think something strange was going on because my daughter was always a straight A student. I would be somewhat baffled.","I would feel like I always do, happy to be a parent. I would get additional help for my child if needed.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",21,"I would encourage the child. I would get the child a tutor. I might ask the teacher how my child can do better.","I would be concerned.","I would feel sad.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",22,"Study hard and learn from your mistakes ","Unsure of myself","Proud","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",23,"I would first ask to see the test and identify what they got wrong on it. Then I'd try to help my child better understand the problem areas. Afterward I would have them ask the teacher if they could retake the test.","That my child did not entirely grasp the knowledge on the test and simply needed more hands on approach ","Sad that they're experiencing it but content regardless bc it happens.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",24,"I would remind her that I’m proud of her for trying her best. I would then work with her personally to improve her skills and touch base with her teacher to see if there are specific areas we should focus. ","I would think she probably could have studied more. ","I would be worried for her, as I want her to get good grades to allow her to have a successful future. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",25,"It is only the first test plenty of time to get your grade up,  Do you think you did your best? study enough? or would you like me to help you? we can do it together so we both learn or I get a refresher on math?","I had similar experience with science when I went to school and I studied harder and my grade by the end of the year was an A.
If I can do it my daughter can as she is way smarter than I am.","I would feel ok as it happens and I find out what happened by asking questions and listening most importantly to find out if she did her best, studied enough, grasps the concepts.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",26,"I would not be mad at my child, because I saw they tried and studied and did not blow it off. I would offer suggestions of talking to the teacher about extra credit, resources to help learn the material better, make up tests, etc. 

I would do my best to encourage my child to not get discouraged because they enjoy the class and the teacher, I do not want them to have a negative view because of one test.","I would think my child tried to the best of their ability and they may need more time with the subject matter to fully grasp it. ","I would feel encouraged to help find a way to improve the grade, giving my child a better understanding of the material, and I would try my best to help my child stay positive","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",27,"I would say that it's okay and it's only one test. I would ask if they need help with understanding the problems.","I would think that they had an off day and it's okay to fail sometimes ","I would feel sad for them ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",28,"Your Life is in Your Hand. You are 100% responsible for how your life turns out. ...
Never Settle for Less than You Can Be. Stand up for yoursel","I AM VERY PROUD ","GOOD ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",29,"I would tell my child that she should learn from this failed test. She should sit down and rework the problems everyday until she makes a 100. I would also make her set aside time everyday to do math rather than be on social media or hanging out with friends. Plenty of time for that when she is passing math and all the other classes she has. ","I would think that perhaps she learns somewhat differently from her peers and I would also think that she can grasp the subject quite well if she practices everyday. ","Concerned that she might have trouble grasping the subject if she doesn't apply herself to the subject. She's a bright girl but she might need a tutor or she might need to figure out a method to help her remember the formulas. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",30,"I would say not to worry too much about the first test of the class, but to try to take this as a lesson in how to prepare for the next test.  I would encourage them to ask me, or the teacher for help when they have questions and to keep trying their best.","I would think that they might need some extra help studying for the next test.","I would worry, but only slightly, as this was their first test.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",31,"I see you've gotten an F in your math class, what are your thoughts on that?
Can you bring home the paper so we can look at it together and you can then explain to me where you think you've been having problems?
I would like to help you achieve a better grade and make sure you know your basics.","I would be a bit upset at the low grade but I won't let my child see it because I don't want them to get downhearted because they think I don't approve.  I want to help them succeed and would do what I can to help them.
I think they may be a bit too overconfident in their skills and need to be shown that they do need to study no matter how much they feel comfortable.","I would be a bit upset and wonder where my child is going wrong.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",32,"What could have been the reason for your grade? Can we go over the material together to try to understand how you can do better? Do you want to discuss this with your teacher?","I’d think she was not a very good judge of her comprehension.","I’d be disappointed and concerned. I would want to get as much information as possible to understand why so we could work to correct it.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",33,"I would tell her to explain how they thought it went well and see where any confusion was and focus on helping them turn a weakness into a strength ","I would think that it’s one test out of many in life. It’s not that big of deal.","Proud that my kid came to me for help.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",34,"I know how hard you studied and we can always improve on this grade. Let's see what we can do to help you retain the information your learning ","I would think she tried her best but may need some help","I wouldn't be upset there is always room to grow","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",35,"I would tell my child not to be discouraged, that I will work with them to help them learn the material better.  I want to stay as positive as possible so that they don’t give up on this.","I would be disappointed, but try not to show it to my child too much.  I want to give them positive encouragement to do better.","I would feel sad that they didn’t do better and probably blame myself that I didn’t do enough to help them.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",36,"I would tell her that sometimes that happens.  The best thing to do is look at what she missed so she can make sure she knows it for the future.","I would think that she thought she knew the material but didn’t.  I would think she needs some extra help. ","I would feel sad for her since she thought she knew it and didn’t.  I would feel worried that she needs extra help in math.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",37,"i would tell her that it's okay, we all fail at different things, even me. if we had the test back, id help her study over the missed questions. we would sit down and practice a little bit each day. ","i would think it's okay. not everyone succeeds at everything that they do the first time. ","i would feel neutral. i would feel determined to help my child learn the material better. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",38,"I would tell them they should probably study more and pay more attention in class. I would let them know that there are tutors available if they need help. ","I would think they need to try harder. ","I would feel a little sad but get over it quickly. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",39,"There are going to be many times in your life that your expectations do not meet reality -- or the amount of work put in, does not correspond to the result. The best thing you can do is look at the teacher's notes, find the errors, and even have a conversation with them to get some extra help. You are enthusiastic about math, that is a great thing! Don't like one obstacle crush that.","I would think I know what it is like it that situation. Receiving a bad grade after studying is very discouraging. ","I would feel bad... maybe a little helpless. I would want to help as much as I can by encouraging them to improve, and to be proud of the work they did. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",40,"I would go over the test with my child and see how she made the mistakes.  Then I would see if she could understand how the mistakes were made and fix them.  If not, she might be in the wrong math class for her abilities.","She might have had an off day or be a poor test taker.  Or she might be in the wrong math clas.","A little disappointed","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",41,"I would ask what her study practices were to see if there was a failure to properly prepare. I would ask her to go over how she felt about the test when she was taking it, did she guess a lot, etc. I would also want to watch her go over problems and may reach out to the teacher for their opinion on moving forward. ","I’d think there was a failure to fully realize what the test would actually ask and she was tricking herself into thinking she understood better than she did ","I’d feel exasperated and frustrated and a little worried on how to move forward ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",42,"I instill in my child that they still did a good job. I would probably talk about how most people fail in the beginning of learning something. Nobody is good at something in the beginning.","I would think this is a normal part of life. We have all experienced it. Think about what helped you get over? I failed my first math test in college. I graduated with a 4.0 GPA.","I would feel very neutral in the situation. Nuetrality is calming.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",43,"You did not get a passing grade on this test.  I need you to reach out to your teacher for help and don't let this grade affect your current performance.  Let this be a sign that you need to focus more in class, and be proactive regarding stuff you have a hard time understanding.
I love you.","I would be concerned especially since math was always a major challenge for me, and I am not in the best position to help her with it. ","I would feel sad and concerned, and wonder what can be done to help her going forward.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",44,"I would ask them what they thought they didn't understand on the test and what they thought they did understand on the test","I would want to know what they didn't understand and what they did ","I would feel disappointment and in need of helping them do better","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",45,"Failure isn't really a problem but refusal to learn or analyze what you did is. We'll need to assess the test questions and from there, look at what she is supposed to know and compare it to what she did. It's important to review results like that, so we would probably go over the test together to see where the gaps in her knowledge are. Sometimes the problem is genuinely misreading the problems and sometimes it can be other factors, but in the main we need to make sure that what was on the test is what had been covered by the class.","I think that my daughter is incredibly intelligent and that she needs support to accomplish the learning goals of the class. Doing this in a way that leads to a better attitude toward the subject would be beneficial in the long run. ","More or less like I need to help out somehow. I homeschool my child, so if there's an issue of understanding or not being able to retain information, it usually means I am not presenting it in a way that appeals to my daughter. I tend to look on test failures as that kind of failure rather than a failure on the part of my child. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",46,"I would ask what my child what they think went wrong. Then I would ask which problems  she had a particularly tough time with. Finally I would explain that she can learn from the experience and do better next time, kindly letting it be known that such is expected.","I would think that perhaps she needs a tutor or maybe there are some teaching flaws.","I would feel disappointed but confident that my child will work hard to do better ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",47,"I would say it is ok for the first time, but you should study much more and to be sure you really know material of the class.","I would think that the child is silly and inmature.","not so great, I would think my child is not a good student","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",48,"I would likely ask if they gelt anxious during the test, since they thought they knew the material fairly well.","That the child needs some help and more explaining on the math problems.","Sad. Not in a disappointed way, but just because the child felt pretty confident in the class, but is obviously struggling a bit.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",49,"I would look at the test and asked how do they feel about the grade. Then we would go over what questions they got wrong.","I would think that the test involved variations of class work.","I would feel troubled.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",50,"What do you think happened? Did you really not know the material or were you just rushing and made dumb mistakes?This is a good starting point though, we can see what you need to work on and work on them to get better.","I would feel as if my kid was rushing instead of taking her time. ","I would a bit irritated since I assumed she would know most of the work and make sure she studies more next time. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",51,"I would ask them how they’re feeling about their grade. I would base my response to their reply, but it would be important to me to reassure them that they tried their best. I would want them to know that I will help them study harder next time. 

I would ask, “What did you struggle with? We can practice it together for your next test.” 

It would be most important to me to let them know their worth is not only the test and they sincerely tried. ","I would be concerned. If I saw them genuinely trying their hardest, I would want to know why their score was low. Some people are not good at test taking but still understand the skill. I would want to know what their area of weakness was to help them do better. ","I would feel anxious remembering when I did poorly on my own tests.  I always had anxiety about not knowing the answers so I tended to study extra to do well. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",52,"I would ask her what she thinks happened to cause her to get such a low grade. I would remind her that her dad and I don't expect her to get straight A's, but she has to pass the class. I would ask what questions were confusing to her, and look over them with her to see if I could help. If the questions were confusing to me, too, I would ask the teacher if we could get some extra help for my daughter in order to help bring her grades up.","I would be sad for my daughter, because she really thought she did well, and I know it must be really disappointing and kind of embarrassing. I would also be concerned for her grades. I don't expect my kids to be straight A students, but I want them to pass their classes and understand the material.","I would wonder if I had done enough to prepare her, and worry about how I was reacting in the moment.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",53,"Hey, I saw you worked hard on that math test, and it's tough getting a 54. But it's okay not to get everything right the first time. We all have hiccups.

Let's chat about the parts that confused you. I'm here to help, and we can figure them out together. Learning is like a journey, and mistakes are just bumps in the road.

Instead of feeling down, let's think about how we can get better. We can make a plan, like doing extra practice or asking the teacher for help. I know you can do it with some effort.

And remember, one test doesn't show everything about you. You're more than just grades. I'm sure you'll do better next time. Keep going, and I'm here for you.","I would probably think they might have had a bad day or something was bothering them and that is why they couldn't do their best.","I would feel a bit sad if they were feeling sad or disappointment. I'd feel empathy for them.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",54,"That's OK. It's only one test. Yeah, your grade might suffer a bit but at least you know what you need to work on.

If you think you need some more help, ask your teacher during your flex period. You might also ask what the average grade of the class was. This could mean that the information wasn't taught well.

You'll be more prepared for next time!","I would think that a person can't know everything and certain parts of a subject can be difficult even if that person normally excels in general.","I would feel bad for my son and try and explain to him that no one expects perfection. Things like this will happen many times in his life and that this is fairly minimal in severity.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",55,"I would like to encourage my child and help them understand that everyone is different and learns differently. I would try to find an approach that allows her to learn to the best of her ability. I would be supportive. ","I would think I am trying to be helpful and supportive. ","I would feel good as a parent if I am able to help and support her. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",56,"I would say that the only thing that matters is that you did your best. All I ask of you everyday is that you do the best you can, and if thats good enough then thats not your fault. Some days your best isnt good enough, and thats a hard pill to swallow. ","I would think that as long as she tried her best and gave it her all there is not much else that could have been done.","I would feel that I could possibly look into more tutoring lessons for her to help improver her knowledge.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",57,"While my child thought she had adequately prepared for the test, the result indicates that she would likely have benefited from spending more time reviewing the material. I would begin by suggesting that she schedule some time to meet with her teacher as soon as possible to discuss the answers she got wrong and focus on identifying concepts she may have missed. I would also offer my own support to review her homework in this class and work with her on any answers she got wrong.  Both the teacher and I have a better interest in helping my child succeed in this subject. ","I would initially be upset by the grade but would focus on the activities needed to help my child do better. ","I would feel as if I should have been more involved in checking my daughter's homework in this area so knowledge gaps could have been identified before she failed a test. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",58,"I understand you felt confident on the material but do you know why you got an F.  I really think you need to meet with the teacher to see if there is something that you may has misunderstood. If there was not anything that you misunderstood then maybe you did not put the required effort into the material.","I would think that something was misunderstood and they truly did not understand the material the way they thought.","I would feel bad for my child but willing to help them as much as possible to understand what happened and how not to have this happen again.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",59,"You tried your best. All we can do now is see what help we can get you so you have the tools to do better next time. ","Sometimes circumstances affect the way we test. A lot of new things happened that could have absolutely changed the outcome. ","Sad but determined to help. ","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",60,"I would tell my child she did the best she could and it's ok. Then I would go over the test with them to see which answers she missed so we can study those things more","I wouldn't really think anything in particular ","I would feel fine, sad for my child if they were disappointed in themselves","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",61,"I would first ask them were they telling the truth about thinking they did well. I would then ask them some of the questions on the test to see if they really understood them. Then I would send a note with them to the teacher asking for tutoring. ","I would think that my child may actually have struggled with the information and not actually understood what they were being tested on. ","I would feel bad because my child now feels sad about having failed. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",62,"Math can be tricky, and sometimes we don't understand it as well as we might've thought we did. It's okay to have a hard time, you're not any less smart just because you got a lower grade. Let's see if we can get your teacher to spend some time with you after school and go over what might've gotten confusing for you. Next test we can use this information to help you study more effectively. It will be okay and you'll do better next time.","I would think that my child needs things explained again or in a different manner. They probably didn't quite grasp the information as well as they thought, I was the same way sometimes in math class.","I would feel as though I needed to find a way to help my child study next time in a way they can understand and learn from more easily. I would feel responsible for helping them to do better on their next test.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",63,"We will have to study harder for the next test.   ","I would be surprised that they thought they knew the material and were so unprepared. ","I would feel disappointed and blame their mother. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",64,"I would ask her to review what she missed with the teacher and review the correct answers.  I would encourage her to try harder and to work at what she did wrong on the first test.","I would wonder if she is being truthful with me about studying.","I would feel worried and I would track her progress in that class more closely.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",65,"I would begin by asking, ""How did the rest of your class do?"" in order to determine if this was a class-wide problem or something specific to my child. I would then say, ""It's ok, it's just one test, but you should meet with your teacher and go over the answers. If you thought you did well, I think that means there's some kind of disconnect between how you're understanding what's being taught and what you're supposed to be learning. It would be a good idea to ask your teacher for extra help.""","I would initially think that this score couldn't be reflective of the true situation. I would be surprised that she got an F and wonder if the test was just extra hard for everyone. If it turns out it is just her, though, I would think that she must be misunderstanding some vital part of the material and should speak with the teacher to correct that problem before taking any more tests. I would remember how awful I felt when I did badly on tests as a kid and would try to be sympathetic and understanding, even if I was feeling a little disappointed.","I would feel a little disappointed but mostly kind of guilty, because I am bad at math and the kid may have inherited that from me. I would feel that I should push her to seek extra help so this doesn't happen again.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",66,"Let's take this as a opportunity to learn what went wrong and how to do better next time","Confused about what happened","slightly concerned but would wait to see if it got better","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",67,"I would give them as much positive feedback as possible and let the know the will do better next time...no negativity at all in the feedback","Just as I said i have faith in my child's ability","I would feel positive about my child...no worries","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",68,"I would be understanding and encourage my child it is ok and they can take it over again. I would see why they failed the test and see if they can redo the exam.  I know sometimes there can be test taking anxiety and there is a lot of pressure to do well.  I would make sure my child is still encouraged to try again and know it is not the end of the world and a grade does not make the child of who they are.","I think I am disappointed about the test results and see what happened.  I would like to know what the questions and answers that were wrong.","I would feel a little disappointed as a parent but also understanding for my child.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",69,"I would review the test with her to find out what she had problems with, so we can see what she needs to improve on. That way we can determine if it's an issue with retention or if it has something to do with misinterpreting the way the questions were asked. If you can figure out the root of the problem then you can grow on it to do better in the future. They could need tutoring or just need some guidance or it could be something else altogether.","I think every instance and person is different and without having the actual conversation and reviewing the actual test that it would just be guessing.","Supportive of my child and wanting to help her find out what happened.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",70,"I would say its ok if you tried you best. Dont let it get you down. Its time to rethink what your doing and how your learning so you can do better next time.","I would think they need to work harder. I would think they need help from me and I havent been giving it to them.","I would feel responsible and that I am failing them as a parent.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",71,"I would say ""Oh man, that is really tough. You felt so confident and that must be really disappointing."" After them replying, ""I'm still proud of you for doing your best. Maybe we can study differently next time or talk to your teacher about the material? Don't dwell on this too much, it was probably a really hard test."" I would either reach out to their teacher or have them speak to the teacher regarding feeling confident in the material and such a low score. I'd try not to over react. ","I would think I was annoyed that they did so poorly and I might even think there was an issue with the test. ","I'd feel disappointed for my child and like I should have helped them study different or better. ","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",72,"I'm not sure why you failed the test. I know you studied. You tried your best, right? So let's see if there was a mistake, or if there is something that you didn't understand. Let's go over the questions together, and if there is a mistake, I will talk to your teacher. If there is something you didn't understand, you'll understand it better for next time. ","I would think it strange that my child studied and seemed to understand but got a failing grade. I would think there was a mistake in the grading.","I would feel upset for my child that she thought she was doing so well but ended up failing the test. I would feel frustrated on her behalf. I would feel sad that her confidence in herself was shaken. I would feel aggravated with the teacher that the teacher didn't do a better job.","Enhancing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",73,"Let's look at this test together so that we can figure out which problems that we need to work on together, so that you are more comfortable working on these types of problems ok? The test score isn't what we planned for, so I think we need to do a little more practice on this type of math, ok? 
This grade isn't good, but you are so smart, and I know you can improve, it will just take a little more work. I will help you though. The grade measures how prepared you were for the test, but it is NOT a measure of how smart you are :) It just means you need to work on this type of math a little bit harder than the others.  ","I would think that this clearly isn't an area of competence YET for my child, but that it is my responsibility to help them understand that it CAN be, and that we just need to put in some more time on this type of math. It's ok to fail, but we need to work hard to turn that failure into a success.","I just answered that? THe last question said ""how would you feel?"" and I answered it there. I would feel disappointed and a bit like I hadn't done my job as a parent, and needed to work on that too, and support and encourage my child in their efforts to learn this math.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",74,"I would say that a bad grade simply helps us figure out what they need to work on.  I would be supportive and help them study and learn the material at home.  If my child works one-on-one with me that would give them more attention and confidence that every missed question is learnable. ","They're learning and it's entirely normal.","Encouraged to help them learn.","Debilitating",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
