"","X","ResponseId","Parent","Subject_1","Subject_2","Subject_3","Subject_4","Initial.Survey_1","Initial.Survey_2","Initial.Survey_3","Initial.Survey_4","Enhancing_1","Enhancing_2","Enhancing_3","Enhancing_4","Enhancing_5","Debilitating_1","Debilitating_2","Debilitating_3","Debilitating_4","Debilitating_5","Closing_1","Closing_2","Closing_3","Closing_4","Closing_5","Closing_6","Age","Child.Age","Other.Child","Education","Race","Race_7_TEXT","Gender","Gender_6_TEXT","Q24","Q25","Condition"
"11",42,11,"Yes","4","4","4","5","2","2","5","4","","","","","","2","3","3","3","3","5","5","4","2","2","2",33,3,"0","Post Graduate degree","White","","Woman or Female",NA,"Yes","Yes","Debilitating"
"12",43,12,"Yes","5","5","6 (very good)","6 (very good)","5","4","5","4","5","4","5","4","3","","","","","","4","5","4","5","4","5",49,12,"7","Post Graduate degree","White","","Man or Male",NA,"No","No","Enhancing"
"13",44,13,"Yes","5","6 (very good)","6 (very good)","5","1 (strongly disagree)","1 (strongly disagree)","5","5","","","","","","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","5","2","2","2","3","4","3",37,14,"","College degree","White","","Woman or Female",NA,"Yes","No","Debilitating"
"14",45,14,"Yes","4","4","4","6 (very good)","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","5","5","5","4","3","3","3","4","4","3",49,24,"","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"15",46,15,"Yes","3","2","1 (not good at all)","6 (very good)","3","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","2","1 (strongly disagree)","2","2","1 (strongly disagree)","2","2","2","3","2","1 (strongly disagree)",37,3,"3 and 1","College degree","Asian","","Woman or Female",NA,"No","No","Debilitating"
"16",47,16,"Yes","5","5","4","4","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","5","5","4","6 (strongly agree)","5","5","5","3","4","2",44,8,"7","HS degree","White","","Woman or Female",NA,"No","Yes","Debilitating"
"17",48,17,"Yes","5","4","4","6 (very good)","2","2","4","4","5","6 (strongly agree)","5","5","6 (strongly agree)","","","","","","4","4","4","3","3","3",52,18,"22","College degree","White","","Woman or Female",NA,"No","No","Enhancing"
"19",50,18,"Yes","5","5","5","5","5","5","6 (strongly agree)","5","","","","","","3","4","4","3","5","5","5","6 (strongly agree)","2","2","2",34,6,"4","Post Graduate degree","Hispanic, Latino, or Spanish origin","","Man or Male",NA,"Yes","Yes","Debilitating"
"20",51,19,"Yes","2","2","1 (not good at all)","1 (not good at all)","6 (strongly agree)","5","4","5","","","","","","5","6 (strongly agree)","6 (strongly agree)","5","5","3","3","4","5","5","5",30,2,"6 mo","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"21",52,20,"Yes","5","5","6 (very good)","6 (very good)","2","2","6 (strongly agree)","6 (strongly agree)","","","","","","5","6 (strongly agree)","5","5","5","2","6 (strongly agree)","3","4","2","3",58,28,"N/A","College degree","White","","Woman or Female",NA,"No","No","Debilitating"
"22",53,21,"Yes","5","5","5","5","2","2","5","5","5","5","5","5","5","","","","","","5","5","5","2","2","2",70,37,"33","Post Graduate degree","Asian","","Man or Male",NA,"No","No","Enhancing"
"23",54,22,"Yes","6 (very good)","6 (very good)","5","5","2","2","5","4","5","5","5","5","5","","","","","","4","5","4","3","3","3",36,12,"","College degree","White","","Woman or Female",NA,"Yes","Yes","Enhancing"
"24",55,23,"Yes","3","4","5","4","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","5","4","1 (strongly disagree)","1 (strongly disagree)",38,13,"13","HS degree","White","","Man or Male,Transgender",NA,"Yes","Yes","Enhancing"
"25",56,24,"Yes","2","4","2","5","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","4","5","3","4","3","5",34,5,"1","College degree","White","","Woman or Female",NA,"Yes","No","Debilitating"
"27",58,25,"Yes","6 (very good)","5","5","6 (very good)","3","4","3","3","","","","","","2","3","4","1 (strongly disagree)","4","5","6 (strongly agree)","6 (strongly agree)","2","6 (strongly agree)","3",57,15,"","College degree","American Indian or Alaska Native,White","","Man or Male",NA,"No","No","Debilitating"
"28",59,26,"Yes","4","3","3","4","2","3","5","4","","","","","","5","5","5","4","5","3","4","4","4","3","4",40,4,"2","College degree","White","","Woman or Female",NA,"No","No","Debilitating"
"29",60,27,"Yes","5","5","4","5","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","4","4","5","2","2","1 (strongly disagree)",30,7,"5","College degree","White","","Woman or Female",NA,"No","No","Enhancing"
"30",61,28,"Yes","5","4","6 (very good)","6 (very good)","5","3","5","6 (strongly agree)","","","","","","6 (strongly agree)","5","4","5","6 (strongly agree)","5","4","6 (strongly agree)","6 (strongly agree)","4","6 (strongly agree)",34,2,"5","College degree","White","","Man or Male",NA,"Yes","No","Debilitating"
"31",62,29,"Yes","5","5","5","6 (very good)","1 (strongly disagree)","2","4","4","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","5","3","3","2",52,17,"33","HS degree,College degree","White","","Woman or Female",NA,"Yes","No","Enhancing"
"32",63,30,"Yes","4","4","4","4","2","2","5","4","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","5","5","2","2","3",40,3,"","HS degree","White","","Man or Male",NA,"No","No","Enhancing"
"33",64,31,"Yes","6 (very good)","6 (very good)","6 (very good)","5","2","4","5","4","6 (strongly agree)","5","5","5","6 (strongly agree)","","","","","","5","6 (strongly agree)","4","3","3","6 (strongly agree)",47,16,"27 18 16","HS degree","Other","Caribbean/West indian","Woman or Female",NA,"No","Yes","Enhancing"
"34",65,32,"Yes","5","4","4","5","3","3","4","4","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","5","5","3","1 (strongly disagree)","1 (strongly disagree)",66,48,"","Post Graduate degree","White","","Woman or Female",NA,"No","Yes","Enhancing"
"35",66,33,"Yes","5","5","5","5","2","2","5","5","","","","","","5","5","5","5","6 (strongly agree)","4","5","6 (strongly agree)","4","4","4",26,9,"5","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"36",67,34,"Yes","4","6 (very good)","6 (very good)","6 (very good)","2","2","2","5","","","","","","4","5","5","5","4","3","4","3","3","3","3",34,17,"15","HS degree","White","","Woman or Female",NA,"No","Yes","Debilitating"
"37",68,35,"Yes","6 (very good)","4","4","6 (very good)","4","5","4","4","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","2","3","2","5","4","6 (strongly agree)",38,5,"","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"38",69,36,"Yes","4","5","5","5","5","4","2","2","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","5","4","4","4","4","2","2","3",49,15,"21","Post Graduate degree","White","","Woman or Female",NA,"Yes","No","Debilitating"
"39",70,37,"Yes","5","4","4","5","2","2","5","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",26,6,"","HS degree","White","","Woman or Female",NA,"No","Yes","Enhancing"
"40",71,38,"Yes","6 (very good)","6 (very good)","6 (very good)","6 (very good)","4","4","2","2","3","3","3","3","4","","","","","","3","3","3","3","3","3",43,17,"N/A","HS degree","White","","Man or Male",NA,"No","No","Enhancing"
"41",72,39,"Yes","3","2","1 (not good at all)","3","3","3","4","3","","","","","","4","4","4","4","1 (strongly disagree)","4","5","6 (strongly agree)","2","2","1 (strongly disagree)",37,5,"3","Post Graduate degree","White","","Man or Male",NA,"No","No","Debilitating"
"42",73,40,"Yes","6 (very good)","6 (very good)","6 (very good)","6 (very good)","4","4","3","3","5","5","5","5","5","","","","","","5","5","5","2","2","2",49,8,"17","College degree","White","","Woman or Female",NA,"No","No","Enhancing"
"43",74,41,"Yes","5","3","3","4","5","5","3","2","5","5","5","4","4","","","","","","3","4","4","3","3","2",34,3,"0","Post Graduate degree","White","","Woman or Female",NA,"No","No","Enhancing"
"44",75,42,"Yes","1 (not good at all)","1 (not good at all)","1 (not good at all)","1 (not good at all)","5","5","5","1 (strongly disagree)","","","","","","5","5","5","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","4",29,2,"1.3","College degree","White","","Man or Male",NA,"No","No","Debilitating"
"45",76,43,"Yes","5","5","5","5","3","3","3","2","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","5","3","4","4","4","3","2",46,13,"10","College degree","White","","Woman or Female",NA,"No","No","Debilitating"
"46",77,44,"Yes","6 (very good)","6 (very good)","6 (very good)","6 (very good)","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",41,13,"","HS degree","White","","Man or Male",NA,"No","No","Enhancing"
"47",78,45,"Yes","5","4","3","5","2","4","5","3","5","5","5","5","5","","","","","","4","5","5","4","3","3",46,11,"0","College degree","White","","Man or Male",NA,"Yes","Yes","Enhancing"
"48",79,46,"Yes","6 (very good)","6 (very good)","5","6 (very good)","1 (strongly disagree)","1 (strongly disagree)","5","4","","","","","","4","6 (strongly agree)","5","4","3","4","5","5","3","3","1 (strongly disagree)",46,7,"10","College degree","White","","Man or Male",NA,"No","Yes","Debilitating"
"49",80,47,"Yes","3","4","4","4","3","4","5","4","5","5","5","5","5","","","","","","4","4","3","5","4","4",40,11,"","Post Graduate degree","White","","Woman or Female",NA,"No","No","Enhancing"
"50",81,48,"Yes","5","4","4","5","3","4","2","3","","","","","","4","5","4","5","3","3","3","2","5","4","4",36,14,"7","College degree","White","","Woman or Female",NA,"Yes","Yes","Debilitating"
"51",82,49,"Yes","5","4","5","4","3","2","4","4","","","","","","4","4","4","4","4","3","3","3","3","3","5",46,21,"N/A","HS degree","Black or African American","","Man or Male",NA,"No","No","Debilitating"
"52",83,50,"Yes","5","5","5","6 (very good)","3","3","4","4","","","","","","4","4","4","4","6 (strongly agree)","5","5","4","2","4","3",35,9,"6,2","College degree","White","","Man or Male",NA,"No","No","Debilitating"
"53",84,51,"Yes","6 (very good)","6 (very good)","5","4","2","5","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","2","1 (strongly disagree)","1 (strongly disagree)","5","4","4",31,11,"2, 3","HS degree","Hispanic, Latino, or Spanish origin","","Woman or Female",NA,"No","Yes","Debilitating"
"54",85,52,"Yes","4","6 (very good)","4","6 (very good)","3","3","5","5","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","6 (strongly agree)","6 (strongly agree)","3","3","3",30,4,"2","College degree","White","","Woman or Female",NA,"No","No","Enhancing"
"55",86,53,"Yes","6 (very good)","6 (very good)","6 (very good)","6 (very good)","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","3","4","4","2","2","5","5","5","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",61,12,"10","Post Graduate degree","Other","multi","Genderqueer, gender fluid, or non-binary",NA,"Yes","Yes","Debilitating"
"56",87,54,"Yes","6 (very good)","5","5","3","4","5","2","1 (strongly disagree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","4","2","4","6 (strongly agree)","5","5","4",42,12,"8","College degree","White","","Man or Male",NA,"No","No","Debilitating"
"57",88,55,"Yes","4","4","4","4","4","5","3","3","4","4","4","3","4","","","","","","4","4","4","3","4","5",37,3,"1","Post Graduate degree","Asian","","Man or Male",NA,"No","No","Enhancing"
"58",89,56,"Yes","1 (not good at all)","1 (not good at all)","1 (not good at all)","1 (not good at all)","4","2","3","4","5","5","6 (strongly agree)","5","6 (strongly agree)","","","","","","5","6 (strongly agree)","5","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",38,8,"","College degree","Black or African American","","Woman or Female",NA,"No","No","Enhancing"
"59",90,57,"Yes","5","6 (very good)","5","6 (very good)","3","5","3","2","","","","","","3","3","4","4","2","4","5","5","3","3","3",49,15,"","College degree","White","","Man or Male",NA,"No","No","Debilitating"
"60",91,58,"Yes","6 (very good)","6 (very good)","5","4","5","5","4","4","","","","","","4","4","4","4","6 (strongly agree)","3","3","4","4","3","2",52,19,"","College degree","White","","Woman or Female",NA,"No","No","Debilitating"
"61",92,59,"Yes","4","3","2","3","2","2","5","4","6 (strongly agree)","6 (strongly agree)","5","5","5","","","","","","6 (strongly agree)","6 (strongly agree)","5","3","2","2",34,13,"1, 1, 15","HS degree","White","","Woman or Female",NA,"No","No","Enhancing"
"62",93,60,"Yes","5","5","5","5","2","2","5","5","","","","","","5","5","5","5","4","1 (strongly disagree)","4","2","5","5","5",32,14,"10","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"63",94,61,"Yes","3","3","3","3","4","5","4","4","","","","","","5","5","5","4","4","5","5","5","3","3","2",26,4,"1","College degree","Black or African American","","Woman or Female",NA,"Yes","Yes","Debilitating"
"64",95,62,"Yes","3","4","4","5","1 (strongly disagree)","2","5","5","","","","","","6 (strongly agree)","5","6 (strongly agree)","6 (strongly agree)","4","2","5","4","5","5","4",26,6,"","HS degree","White","","Agender,Genderqueer, gender fluid, or non-binary",NA,"No","No","Debilitating"
"65",96,63,"Yes","5","5","5","6 (very good)","5","5","5","2","","","","","","5","5","4","4","6 (strongly agree)","4","5","4","2","2","2",58,33,"31","College degree","White","","Man or Male",NA,"Yes","No","Debilitating"
"66",97,64,"Yes","5","5","5","4","4","5","4","2","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)",56,16,"14","College degree","White","","Woman or Female",NA,"No","No","Enhancing"
"67",98,65,"Yes","4","4","4","6 (very good)","2","2","4","3","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","2","4","5","6 (strongly agree)","2","2",34,8,"","College degree","White","","Woman or Female",NA,"Yes","Yes","Enhancing"
"68",99,66,"Yes","5","5","5","5","3","3","6 (strongly agree)","3","","","","","","4","4","4","4","3","3","4","4","3","3","3",34,6,"2","College degree","White","","Man or Male",NA,"Yes","No","Debilitating"
"69",100,67,"Yes","4","4","5","5","4","4","2","2","","","","","","5","5","5","5","4","4","4","5","3","3","3",68,28,"","College degree","White","","Man or Male",NA,"Yes","No","Debilitating"
"70",101,68,"Yes","5","6 (very good)","3","5","4","5","6 (strongly agree)","5","6 (strongly agree)","5","6 (strongly agree)","4","6 (strongly agree)","","","","","","4","5","6 (strongly agree)","5","3","6 (strongly agree)",52,16,"18","College degree","Asian","","Woman or Female",NA,"No","Yes","Enhancing"
"71",102,69,"Yes","5","5","5","5","3","4","3","3","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","6 (strongly agree)","5","2","2","2",44,21,"25","HS degree","White","","Woman or Female",NA,"No","No","Enhancing"
"72",103,70,"Yes","6 (very good)","5","5","3","2","4","6 (strongly agree)","4","","","","","","4","6 (strongly agree)","6 (strongly agree)","4","5","5","6 (strongly agree)","5","6 (strongly agree)","5","5",37,8,"","College degree","Hispanic, Latino, or Spanish origin","","Man or Male",NA,"Yes","No","Debilitating"
"73",104,71,"Yes","6 (very good)","4","4","4","5","5","2","2","","","","","","6 (strongly agree)","6 (strongly agree)","5","5","2","4","5","5","4","4","2",33,10,NA,"College degree","White","","Woman or Female",NA,"No","No","Debilitating"
"74",105,72,"Yes","5","6 (very good)","6 (very good)","5","2","3","4","4","4","4","4","4","4","","","","","","4","4","4","3","3","3",41,15,"14","College degree","White","","Woman or Female",NA,"No","Yes","Enhancing"
"75",106,73,"Yes","3","3","5","5","5","5","2","2","","","","","","2","3","3","3","1 (strongly disagree)","2","2","5","2","2","1 (strongly disagree)",35,7,"3","College degree","White","","Woman or Female",NA,"No","No","Debilitating"
"76",107,74,"Yes","6 (very good)","5","5","5","4","4","5","5","","","","","","5","5","5","4","2","4","4","5","3","3","3",34,9,"","HS degree","White","","Man or Male",NA,"Yes","Yes","Debilitating"
"77",108,75,"Yes","4","4","4","5","1 (strongly disagree)","1 (strongly disagree)","2","2","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",32,11,"5","HS degree","White","","Woman or Female",NA,"No","No","Enhancing"
"78",109,76,"Yes","2","2","3","4","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","2","2","1 (strongly disagree)",47,3,"","College degree","White","","Woman or Female",NA,"Yes","Yes","Enhancing"
"79",110,77,"Yes","1 (not good at all)","2","3","3","2","1 (strongly disagree)","3","6 (strongly agree)","","","","","","4","4","5","3","3","5","6 (strongly agree)","4","2","2","1 (strongly disagree)",25,4,"1","HS degree","Black or African American","","Woman or Female",NA,"Yes","Yes","Debilitating"
"80",111,78,"Yes","4","5","5","6 (very good)","2","3","6 (strongly agree)","4","4","5","6 (strongly agree)","4","6 (strongly agree)","","","","","","2","5","4","4","2","1 (strongly disagree)",33,8,"3, 1","Post Graduate degree","White","","Woman or Female",NA,"Yes","No","Enhancing"
"81",112,79,"Yes","4","6 (very good)","4","6 (very good)","2","2","5","4","","","","","","6 (strongly agree)","6 (strongly agree)","5","6 (strongly agree)","3","3","5","4","3","3","4",44,14,"23","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"82",113,80,"Yes","5","4","3","5","4","4","3","2","5","5","5","5","5","","","","","","5","5","5","2","2","2",52,29,"30","Post Graduate degree","White","","Woman or Female",NA,"No","No","Enhancing"
"83",114,81,"Yes","1 (not good at all)","1 (not good at all)","1 (not good at all)","1 (not good at all)","3","4","4","3","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","3","5","5","3","3","3",32,1,"0","HS degree","White","","Man or Male",NA,"Yes","Yes","Debilitating"
"84",115,82,"Yes","4","5","5","4","4","4","4","4","4","5","5","5","4","","","","","","4","4","4","5","5","5",53,21,"","College degree","Black or African American","","Man or Male",NA,"Yes","Yes","Enhancing"
"85",116,83,"Yes","4","5","5","6 (very good)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","2","5","5","5","5","5","","","","","","3","5","5","2","2","3",49,13,"10, 8, 3","Post Graduate degree","Black or African American","","Man or Male",NA,"No","No","Enhancing"
"86",117,84,"Yes","4","4","4","4","2","4","4","4","5","5","5","5","6 (strongly agree)","","","","","","5","5","5","5","5","5",55,34,"36,35,32,31,30","HS degree","White","","Woman or Female",NA,"No","Yes","Enhancing"
"87",118,85,"Yes","4","3","4","5","3","4","2","3","5","5","5","5","6 (strongly agree)","","","","","","5","5","5","3","2","3",51,26,"25","HS degree","White","","Woman or Female",NA,"No","No","Enhancing"
"88",119,86,"Yes","3","3","3","4","1 (strongly disagree)","3","4","4","","","","","","4","4","4","4","4","2","2","2","4","5","3",26,4,"2","HS degree","White","","Woman or Female",NA,"Yes","Yes","Debilitating"
"89",120,87,"Yes","6 (very good)","5","4","5","3","4","4","4","5","5","5","5","5","","","","","","5","3","6 (strongly agree)","2","3","4",34,7,"4","College degree","Asian","","Woman or Female",NA,"Yes","Yes","Enhancing"
"90",121,88,"Yes","6 (very good)","6 (very good)","6 (very good)","6 (very good)","3","3","3","3","","","","","","3","4","4","4","2","5","6 (strongly agree)","6 (strongly agree)","3","3","3",42,16,"25","Post Graduate degree","White","","Man or Male",NA,"Yes","Yes","Debilitating"
"91",122,89,"Yes","6 (very good)","6 (very good)","5","6 (very good)","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","1 (strongly disagree)","2",43,9,"6","College degree","Asian","","Man or Male",NA,"Yes","Yes","Enhancing"
"92",123,90,"Yes","3","5","6 (very good)","6 (very good)","2","2","4","4","5","5","6 (strongly agree)","5","6 (strongly agree)","","","","","","4","5","4","2","4","3",42,13,"16","HS degree","White","","Woman or Female",NA,"No","Yes","Enhancing"
"93",124,91,"Yes","5","4","5","5","2","2","4","3","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","5","2","3","3","4","4","2",53,9,"9 (twins, but I was thinking of one of them in particular for this survey)","College degree","White","","Woman or Female",NA,"Yes","No","Debilitating"
"94",125,92,"Yes","4","4","2","6 (very good)","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","4","6 (strongly agree)","5","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",29,2,"1","Post Graduate degree","Hispanic, Latino, or Spanish origin","","Woman or Female",NA,"No","No","Debilitating"
"95",126,93,"Yes","4","3","3","4","3","4","3","2","5","5","5","5","5","","","","","","5","5","5","3","2","4",31,6,"4","Post Graduate degree","White","","Woman or Female",NA,"Yes","Yes","Enhancing"
"96",127,94,"Yes","2","1 (not good at all)","2","3","3","2","5","4","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","","","","","","5","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",29,1,"","College degree","White","","Woman or Female",NA,"Yes","No","Enhancing"
"97",128,95,"Yes","6 (very good)","6 (very good)","3","6 (very good)","6 (strongly agree)","6 (strongly agree)","1 (strongly disagree)","1 (strongly disagree)","5","5","5","6 (strongly agree)","6 (strongly agree)","","","","","","4","4","4","3","3","4",61,25,"","HS degree","White","","Man or Male",NA,"No","No","Enhancing"
"98",129,96,"Yes","4","4","4","4","3","4","3","3","","","","","","3","3","3","3","4","5","5","5","1 (strongly disagree)","1 (strongly disagree)","1 (strongly disagree)",56,22,"23","HS degree","White","","Woman or Female",NA,"No","No","Debilitating"
"99",130,97,"Yes","6 (very good)","4","4","5","1 (strongly disagree)","1 (strongly disagree)","6 (strongly agree)","6 (strongly agree)","","","","","","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","6 (strongly agree)","5","5","1 (strongly disagree)","2","2","1 (strongly disagree)",54,9,"19, 17, 17,","Post Graduate degree","Black or African American","","Man or Male",NA,"Yes","Yes","Debilitating"
"100",131,98,"Yes","3","4","5","6 (very good)","2","4","1 (strongly disagree)","2","","","","","","6 (strongly agree)","4","5","6 (strongly agree)","6 (strongly agree)","3","4","6 (strongly agree)","2","2","5",28,6,"","College degree","Hispanic, Latino, or Spanish origin,White","","Man or Male",NA,"No","No","Debilitating"
