StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Parent,Subject_1,Subject_2,Subject_3,Subject_4,Initial Survey_1,Initial Survey_2,Initial Survey_3,Initial Survey_4,Enhancing_1,Enhancing_2,Enhancing_3,Enhancing_4,Enhancing_5,Debilitating_1,Debilitating_2,Debilitating_3,Debilitating_4,Debilitating_5,Open_1,Open_2,Open_3,Closing_1,Closing_2,Closing_3,Closing_4,Closing_5,Closing_6,Age,Child Age,Other Child,Education,Race,Race_7_TEXT,Gender,Gender_6_TEXT
2023-10-29 17:05:24,2023-10-29 17:10:12,IP Address,71.162.2.102,100,288,True,2023-10-29 17:10:13,R_p6FTJ7Ey4ozMbHX,,,,,40.4521,-79.9201,anonymous,EN,No,4,3,4,6 (very good),5,5,2,2,5,5,6 (strongly agree),6 (strongly agree),6 (strongly agree),2,4,3,4,2,"I would check the questions of the exam to see if they were synonymous to the material my child studied. If they were confident in their ability and took time to study, my reaction would be that the test was written for a different set of content. I would go through the test with my child. ","I would think it's unfortunate but it's not that big a deal and if she failed, and it was her fault, then it's in the past and we can make sure to do better for the next one.","I wouldn't be worried. I would feel determined to help my kid if they are failing. ",4,5,3,2,2,2,23,no child,no child,College degree,Asian,,Woman or Female,
2023-10-29 18:27:54,2023-10-29 18:28:43,IP Address,45.173.36.6,56,48,False,2023-11-05 17:28:50,R_2RUqsUXXpteCMju,,,,,,,anonymous,EN,No,4,3,3,4,3,2,2,4,2,5,5,4,4,2,4,5,5,3,ad,asdas,ssssssss,,,,,,,,,,,,,,
2023-10-30 12:30:28,2023-10-30 12:32:49,IP Address,166.198.21.25,31,140,False,2023-11-06 11:32:50,R_3G8M9LkH7VjzYHW,,,,,,,anonymous,EN,No,4,3,5,6 (very good),3,3,4,2,6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),4,5,4,5,1 (strongly disagree),,,,,,,,,,,,,,,,,
2023-11-12 14:01:44,2023-11-12 14:02:22,Survey Preview,,100,38,True,2023-11-12 14:02:23,R_2Tz6b2SHit3viFL,,,,,37.423,-122.1639,preview,EN,Yes,6 (very good),6 (very good),6 (very good),6 (very good),6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),,,,,,6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),a,a,a,6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),a,a,a,HS degree,"Hispanic, Latino, or Spanish origin",,Transgender,
2023-11-13 17:57:58,2023-11-13 18:02:02,IP Address,171.66.13.167,100,243,True,2023-11-13 18:02:03,R_xrNCio3JYxBOusx,,,,,37.423,-122.1639,anonymous,EN,No,1 (not good at all),1 (not good at all),1 (not good at all),1 (not good at all),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),2,2,2,2,2,,,,,,erafsd,fadgdga,agrgds,1 (strongly disagree),2,3,4,5,6 (strongly agree),2,2,foo,College degree,Prefer not to Answer,,Prefer not to Answer,
2023-11-15 13:08:09,2023-11-15 13:08:13,Survey Preview,,100,4,True,2023-11-15 13:08:14,R_3RqngFm39JJ6t2s,,,,,37.423,-122.1639,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-15 13:10:51,2023-11-15 13:11:46,Survey Preview,,100,54,True,2023-11-15 13:11:52,R_3oEMuRiR6C8dKnp,,,,,37.423,-122.1639,preview,EN,Yes,5,5,5,5,5,5,5,5,,,,,,5,5,5,5,5,a,a,a,6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),a,a,,,,,,
2023-11-15 14:43:26,2023-11-15 14:43:32,IP Address,171.66.13.162,100,5,True,2023-11-15 14:43:32,R_1DO26ZZuVsprRAi,,,,,37.423,-122.1639,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-16 17:25:27,2023-11-16 17:27:45,Survey Preview,,100,137,True,2023-11-16 17:27:46,R_1PcuChkBsNYnrXh,,,,,37.423,-122.1639,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-16 17:40:04,2023-11-16 17:47:17,Survey Preview,,100,433,True,2023-11-16 17:47:19,R_R3pY9OCSgKlehxv,,,,,37.423,-122.1639,preview,EN,Yes,2,2,2,2,2,2,2,2,,,,,,3,3,3,3,3,.,.,.,3,3,3,3,3,3,.,.,.,College degree,Other,,Other,
2023-11-17 22:48:36,2023-11-17 22:48:43,IP Address,128.189.204.116,100,6,True,2023-11-17 22:48:43,R_3MFmgP0tcdcvi0u,,,,,49.2643,-123.0961,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-17 22:48:49,2023-11-17 22:52:32,IP Address,128.189.204.116,100,222,True,2023-11-17 22:52:32,R_1meYTcTIy6RHJmR,,,,,49.2643,-123.0961,anonymous,EN,Yes,3,4,5,5,4,3,4,3,4,4,3,3,3,,,,,,Defeat,Damn i suck,Damn they suck,4,3,2,2,3,2,80,90,100,No degree,Asian,,Woman or Female,
2023-11-17 23:18:44,2023-11-17 23:19:16,IP Address,206.12.14.30,100,31,True,2023-11-17 23:19:17,R_2wLhhaMBBbENfrW,,,,,49.2492,-123.1924,anonymous,EN,Yes,2,2,2,2,3,3,3,3,3,3,3,3,3,,,,,,aa,aa,aa,2,2,2,2,4,5,a,a,,,,,,
2023-11-17 23:23:49,2023-11-17 23:24:33,IP Address,206.12.14.30,100,43,True,2023-11-17 23:24:33,R_2BgIjnEXGhzaMjC,,,,,49.2492,-123.1924,anonymous,EN,Yes,3,3,3,3,4,4,4,4,,,,,,3,3,3,3,3,its okay,let it be,"we willl be fine ",4,4,4,4,4,4,40,12,1,,,,,
